"nearest_line_id","ID","Accident_Index","Location_Easting_OSGR","Location_Northing_OSGR","Longitude.before","Latitude.before","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_.District.","Local_Authority_.Highway.","X1st_Road_Class","X1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","X2nd_Road_Class","X2nd_Road_Number","Pedestrian_Crossing.Human_Control","Pedestrian_Crossing.Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LSOA_of_Accident_Location","year","Longitude","Latitude","snap_dist","X","Y","optional","FEATID","LAYER","Shape_Length"
"1462",752,"2014950002117",320110,671450,-3.280216,55.9295,95,3,1,1,"2014-04-18",6,15:00:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,NA,"2014",-3.28019826394622,55.9294552971562,0.670757429291609,-3.28019441341367,55.9294497174949,TRUE,1462,"20mph existing streets",309.152822906958
"1469",3020,"2018950000573",312950,678370,-3.396991,55.990362,95,3,1,1,"2018-04-30",2,16:55:00,923,"S12000036",6,0,6,20,9,4,6,0,0,0,1,1,1,0,0,1,1,NA,"2018",-3.39699364153917,55.9903671530271,2.23654266159399,-3.39697470206797,55.9903840435526,TRUE,1469,"20mph existing streets",206.285873561241
"1469",965,"2014950003558",312980,678350,-3.396526,55.990239,95,3,1,1,"2014-07-01",3,17:15:00,923,"S12000036",6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,2,1,NA,"2014",-3.39650642325242,55.9901929599642,2.64125447614614,-3.39648482392628,55.9902131708163,TRUE,1469,"20mph existing streets",206.285873561241
"1470",587,"2014950001034",312940,678380,-3.397177,55.990502,95,3,2,1,"2014-02-22",7,13:15:00,923,"S12000036",6,0,6,20,9,4,6,0,0,0,1,1,1,0,0,2,2,NA,"2014",-3.39715712875353,55.9904551570053,0.468328466598517,-3.39716133714336,55.9904517093167,TRUE,1470,"20mph existing streets",55.3967040863312
"1478",2829,"2016950003025",318702,675044,-3.302401,55.961562,95,3,1,1,"2016-05-11",4,16:40:00,923,"S12000036",6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,NA,"2016",-3.30381105668543,55.9615019245001,0.623425378057747,-3.30380978665339,55.9615074400921,TRUE,1478,"20mph existing streets",321.94679987609
"1479",2510,"2016950000928",326380,672510,-3.178737,55.940035,95,2,2,1,"2016-02-06",7,19:00:00,923,"S12000036",3,7,6,30,9,2,6,0,0,5,4,2,2,0,0,1,2,NA,"2016",-3.18016271029548,55.9399790797992,0.129510861602882,-3.18016186485003,55.9399780262306,TRUE,1479,"20mph existing streets",282.59858245973
"148",3272,"2018950001303",322230,675520,-3.247453,55.966357,95,2,1,1,"2018-09-26",4,08:49:00,923,"S12000036",6,0,6,20,3,4,6,0,0,0,1,1,1,0,0,1,1,NA,"2018",-3.24745243392636,55.96636249127,1.14520826288778,-3.24745649068633,55.9663724514638,TRUE,148,"20mph existing streets",1386.38022173227
"148",455,"2014950000107",322550,675380,-3.242304,55.965202,95,3,1,1,"2014-01-08",4,17:35:00,923,"S12000036",6,0,6,30,8,4,6,0,0,0,4,1,2,0,0,1,2,NA,"2014",-3.24228709166522,55.9651567006389,0.384442669424405,-3.24229278453696,55.9651579528006,TRUE,148,"20mph existing streets",1386.38022173227
"149",3260,"2018950001273",322513,675581,-3.242938,55.966951,95,3,2,1,"2018-08-13",2,18:00:00,923,"S12000036",6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,NA,"2018",-3.24293754769664,55.9669562300761,2.70041676314706,-3.24293061359561,55.9669324546365,TRUE,149,"20mph existing streets",538.253774836073
"1494",2594,"2016950001602",330850,673080,-3.107329,55.94582,95,3,2,1,"2016-03-16",4,07:55:00,923,"S12000036",6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,NA,"2016",-3.10876411839479,55.9457641008346,6.04137453609992,-3.10866807027443,55.9457649652653,TRUE,1494,"20mph existing streets",1086.11607099468
